"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"milanuncios","537175515","Venta","Plurifamiliar","Valencia Capital","46004","Valencia","Valencia","L'Eixample","El Pla del Remei","39.4672737779","-0.3736582561","9","Profesional","JUAN VEA GESTION DE PATRIMONIO  S L U","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/01140748-5908-42d7-9349-3909c3723f24G.jpg","https://www.milanuncios.com/anuncios/r537175515.htm","2025-02-26","962948547","habitalemestalla6148@realestate.com","No","","","No","No contactado","7881","2","3","148","1500000","10135","1","Muy baja"
"milanuncios","537146635","Venta","Plurifamiliar","Valencia Capital","46013","Valencia","Valencia","Quatre Carreres","Ciutat de les Ciències i de les Arts - Justicia","39.4550540073","-0.3586801847","","Profesional","CARLOS MARTINEZ COMPANY","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/51246aa2-ded6-471c-8711-435932305f70G.jpg","https://www.milanuncios.com/anuncios/r537146635.htm","2025-02-26","962645539","gestoriasuasoris589d@realestate.com","No","","","No","No contactado","8521","1","1","65","300000","4615","1","Muy baja"
"Fotocasa","","Venta","Plurifamiliar","Piso en Venta en  Avinguda del General Avilés, 39, Barrio de Benicalap","46015","Valencia","Valencia","Benicalap","Barrio de Benicalap","39.4859141","-0.395376","","Particular","eduardo.folgado.efg","Sí","Sí","Sí","No","Sí","No","No","No","https://static.fotocasa.es/images/anuncio/2025/02/26/185756365/4570524692.jpg?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185756365&tti=1","2025-02-26","34657453494","eduardo.folgado.efg@gmail.com","No","Muy bueno","","No","No contactado","693","3","2","110","373000","3390","1","Alta"
"Fotocasa","MLL-PA2214","Venta","Plurifamiliar","Piso en Venta en Malilla","46006","Valencia","Valencia","Quatre Carreres","Malilla","39.4566681309","-0.3768848691","6º","Profesional","EXPERCASA MALILLA","Sí","Sí","No","No","No","No","No","No","https://static.fotocasa.es/images/ads/fb7a919e-2543-4ba6-8b5b-8e7a20354ac4?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185759489&tti=2","2025-02-26","962645213","valenciamalilla@expercasa.com","No","Bueno","","No","No contactado","6772","3","1","75","214000","2853","1","Muy baja"
"milanuncios","537196326","Venta","Plurifamiliar","Valencia Capital","46015","Valencia","Valencia","Campanar","Sant Pau - Zona Palau de Congresos - Nou Campanar","39.4843259441","-0.4021396307","","Profesional","NEODOM","No","No","No","Sí","No","No","No","No","https://images.habimg.com/imgh/00def0ee-8596-47f3-a55c-ca0bf35b0139G.jpg","https://www.milanuncios.com/anuncios/r537196326.htm","2025-02-26","966530953","neodomd382@realestate.com","No","","","No","No contactado","5999","4","2","194","700000","3608","1","Muy baja"
"milanuncios","537149310","Venta","Plurifamiliar","Valencia Capital","46006","Valencia","Valencia","Quatre Carreres","Mont-Olivet","39.4562621299","-0.3644768701","","Profesional","ESTUIDO MONTEOLIVET","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0218abcf-cf37-48da-be61-e0f1c55262cdG.jpg","https://www.milanuncios.com/anuncios/r537149310.htm","2025-02-26","961281213","redpisovalenciamonteoliveteciuda3c6@realestate.com","No","","","No","No contactado","8194","4","1","119","240000","2016","1","Muy baja"
"Fotocasa","","Venta","Plurifamiliar","Ático en Venta en  Carrer de Callosa d'En Sarrià, 13, La Raïosa","46007","Valencia","Valencia","Jesús","La Raïosa","39.4609008","-0.3870235","","Particular","correodehector1","Sí","Sí","No","No","Sí","No","No","No","https://static.fotocasa.es/images/anuncio/2025/02/26/185755991/4570505595.jpg?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185755991&tti=1","2025-02-26","34651994063","correodehector1@gmail.com","No","Bueno","","No","No contactado","361","2","1","73","330000","4520","1","Muy alta"
"habitaclia","611386","Venta","Plurifamiliar","Piso en venta en Valencia","","Valencia","Valencia","Ciutat Vella","El Pilar","39.4705174871","-0.3817092129","0","Profesional","Tecnocasa Valencia","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/0030c8d6-86c5-4d35-8356-ac0e77de11caG.jpg","https://www.habitaclia.com/i53600000000005","2025-02-26","34623473624","va004@tecnocasa.es","No","Muy bueno","","No","No contactado","7325","2","2","82","275000","3353","1","Muy baja"
"Fotocasa","CARLOS-GIORGETA.","Venta","Plurifamiliar","Piso en Venta en  Cesar Giorgeta, La Raïosa","46007","Valencia","Valencia","Jesús","La Raïosa","39.4569759285","-0.382841942","Undefined","Profesional","GESTORIA CYA","Sí","Sí","Sí","Sí","No","Sí","Sí","No","https://static.fotocasa.es/images/ads/2f13479e-68d3-4cd3-a57f-d3ab500dcb98?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185760798&tti=2","2025-02-26","962645539","carlossmc@hotmail.com","No","Bueno","","No","No contactado","4749","4","2","119","360000","3025","1","Muy baja"
"habitaclia","Hm Valencia 14 26 1","Venta","Plurifamiliar","100% FINANCIACIÓN!!! SIN ENTRADA!!! SIN COMISIONES!!!","","Valencia","Valencia","Rascanya","Torrefiel","39.4925268587","-0.3792834413","0","Profesional","HM INMOBILIARIA","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/08c5c491-4377-428a-82ce-9050ad863f47G.jpg","https://www.habitaclia.com/i16054000038110","2025-02-26","915714488","Hminmobiliaria@hotmail.com","No","Muy bueno","","No","No contactado","7373","4","2","110","185000","1681","1","Muy baja"
"Fotocasa","107408901","Venta","Plurifamiliar","Piso en Venta en  Plaça del Poeta Salvador Rueda, El Calvari","46009","Valencia","Valencia","Campanar","El Calvari - La Fe","39.4862939131","-0.3882758869","Undefined","Profesional","Inmobiliaria Fran López","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/421d3cdd-7f4d-4742-a3b6-b7b79ed88a0b?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185762223&tti=2","2025-02-26","962949864","franlopez@valenciainmobiliaria.es","No","","","No","No contactado","597","3","1","71","234000","3295","1","Moderada"
"milanuncios","537180391","Venta","Plurifamiliar","Valencia Capital","46006","Valencia","Valencia","Quatre Carreres","Malilla","39.4532842299","-0.3806372701","","Profesional","Inmobiliaria Fran López","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/f907c305-8cd8-41c7-bb7a-5c5b38559707G.jpg","https://www.milanuncios.com/anuncios/r537180391.htm","2025-02-26","962949864","inmobiliariafranlopezdaa9@realestate.com","No","","","No","No contactado","4415","3","1","80","240000","3000","1","Muy baja"
"milanuncios","537184542","Venta","Plurifamiliar","Valencia Capital","46015","Valencia","Valencia","Benicalap","Barrio de Benicalap","39.4853916136","-0.3959328016","8","Profesional","Pawel Tadeusz Barglik","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/1c454f90-37aa-481d-87d5-1ab6a1672aa6G.jpg","https://www.milanuncios.com/anuncios/r537184542.htm","2025-02-26","962947856","arrelsvalencia7eea@realestate.com","No","","","No","No contactado","5992","3","2","115","373000","3243","1","Muy baja"
"habitaclia","107417821","Venta","Plurifamiliar","Piso en venta en calle de la Pianista Empar Iturbi","","Valencia","Valencia","Quatre Carreres","Malilla","39.4542622587","-0.3796592413","0","Profesional","Inmobiliaria Fran López","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/f907c305-8cd8-41c7-bb7a-5c5b38559707G.jpg","https://www.habitaclia.com/i46471000001010","2025-02-26","633360529","franlopez@valenciainmobiliaria.es","No","Muy bueno","","No","No contactado","7240","3","1","80","240000","3000","1","Muy baja"
"Fotocasa","DAVID-MUSICA.","Venta","Plurifamiliar","Piso en Venta en  Bandes de música de Valencia, Ciutat de les Ciències i de les Arts - Justicia","46013","Valencia","Valencia","Quatre Carreres","Ciutat de les Ciències i de les Arts - Justicia","39.4562516905","-0.3574825015","Undefined","Profesional","GESTORIA CYA","Sí","Sí","Sí","Sí","No","Sí","Sí","No","https://static.fotocasa.es/images/ads/7430fa0b-5ee6-48c5-87cb-d38d16100b41?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185756914&tti=2","2025-02-26","962645539","carlossmc@hotmail.com","No","Bueno","","No","No contactado","4739","1","1","65","300000","4615","1","Muy baja"
"Fotocasa","107417821","Venta","Plurifamiliar","Piso en Venta en  Carrer de la Pianista Empar Iturbi, Malilla","46006","Valencia","Valencia","Quatre Carreres","Malilla","39.4544819131","-0.3794395869","Undefined","Profesional","Inmobiliaria Fran López","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/f907c305-8cd8-41c7-bb7a-5c5b38559707?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185762273&tti=2","2025-02-26","962949864","franlopez@valenciainmobiliaria.es","No","","","No","No contactado","6707","3","1","80","240000","3000","1","Muy baja"
"habitaclia","00000-476787-S","Venta","Plurifamiliar","Vivienda tipo L, PUERTA número TRECE, recayente al fondo izquierda de la cuarta planta alta, del edificio en Valencia, PLAZA REGIN","","Valencia","Valencia","Benicalap","Ciutat Fallera","39.4994409503","-0.3945707085","0","Profesional","SUBASTAFÁCIL.COM","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/026bf362-c56b-4ddb-9346-230963871f8aG.jpg","https://www.habitaclia.com/i33130000075105","2025-02-26","673178676","info@subastafacil.com","No","Muy bueno","","No","No contactado","5531","2","1","68","34512","507","1","Muy baja"
"Fotocasa","13602","Venta","Plurifamiliar","Piso en Venta en  Gran Vía Gran Vía de las Germanías, Russafa","46006","Valencia","Valencia","L'Eixample","Russafa","39.4650256011","-0.3742450649","5º","Profesional","ALAIN GRUPO","Sí","Sí","Sí","No","Sí","No","No","No","https://static.fotocasa.es/images/ads/a264bfa5-c98a-4692-aca0-ee5255455cc0?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185762049&tti=2","2025-02-26","961281893","i.alainconsultoresinmobiliarios.5458@inmovilla.com","No","Excelente","","No","No contactado","8736","3","2","149","800000","5369","1","Muy baja"
"milanuncios","537163855","Venta","Plurifamiliar","Valencia Capital","46013","Valencia","Valencia","Quatre Carreres","Fonteta de Sant Lluís","39.4450391299","-0.3666928701","","Profesional","AGENCIA WAKSMAN 2016 SL","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/11a63a9f-4cf4-4204-aa90-f20ecf6a96ceG.jpg","https://www.milanuncios.com/anuncios/r537163855.htm","2025-02-26","962645394","expercasaencortscb67@realestate.com","No","","","No","No contactado","7898","1","1","61","225000","3688","1","Muy baja"
"milanuncios","537168818","Venta","Plurifamiliar","Valencia Capital","46001","Valencia","Valencia","Ciutat Vella","El Pilar","39.4702850299","-0.3819416701","","Profesional","Tecnocasa Valencia","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/0030c8d6-86c5-4d35-8356-ac0e77de11caG.jpg","https://www.milanuncios.com/anuncios/r537168818.htm","2025-02-26","961280242","tecnocasavalenciae2db@realestate.com","No","","","No","No contactado","6056","2","2","82","275000","3353","1","Muy baja"
"habitaclia","MLL-PA2214","Venta","Plurifamiliar","","","Valencia","Valencia","Quatre Carreres","Malilla","39.4544715871","-0.3790814129","0","Profesional","EXPERCASA MALILLA","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/203259c8-7ec1-46d9-9cce-ce5d6511d42fG.jpg","https://www.habitaclia.com/i29400000000240","2025-02-26","610182116","valenciamalilla@expercasa.com","No","Muy bueno","","No","No contactado","5167","3","1","75","214000","2853","1","Muy baja"
"Fotocasa","CARLOS-ALCAÑIZ","Venta","Plurifamiliar","Piso en Venta en  Alcañiz, Torrefiel","46019","Valencia","Valencia","Rascanya","Torrefiel","39.4916468969","-0.3772993367","Undefined","Profesional","GESTORIA CYA","Sí","Sí","No","Sí","No","Sí","Sí","No","https://static.fotocasa.es/images/ads/3c989251-6f5d-49d6-926c-42595e68b4f7?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185763625&tti=2","2025-02-26","962645539","carlossmc@hotmail.com","No","Bueno","","No","No contactado","408","1","1","48","135000","2812","1","Alta"
"milanuncios","537167979","Venta","Plurifamiliar","Valencia Capital","46007","Valencia","Valencia","Jesús","La Raïosa","39.4557782453","-0.3840396252","","Profesional","CARLOS MARTINEZ COMPANY","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/205f482c-9e37-447c-95a5-4b32b6e27aa3G.jpg","https://www.milanuncios.com/anuncios/r537167979.htm","2025-02-26","962645539","gestoriasuasoris589d@realestate.com","No","","","No","No contactado","8223","4","2","119","360000","3025","1","Muy baja"
"Fotocasa","2478","Venta","Plurifamiliar","Piso en Venta en  Valencia - CL HORT DE SANT VALERI, Na Rovella - Hermanos Maristas","46013","Valencia","Valencia","Quatre Carreres","Na Rovella - Hermanos Maristas","39.4579869131","-0.3592201869","A partir del 15º","Profesional","ANTONIO SERRA INMOBILIARIA","Sí","Sí","Sí","Sí","No","Sí","No","No","https://static.fotocasa.es/images/ads/dedaa39a-fefb-4ff0-9924-daf29e66175d?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185760930&tti=2","2025-02-26","34657956435","iagestion_2036@iagestion.com","No","Muy bueno","","No","No contactado","4663","3","1","90","340000","3777","1","Muy baja"
"milanuncios","537182909","Venta","Plurifamiliar","Avenida del Cid - Carrer de Santiago de","46014","Valencia","Valencia","L'Olivereta","La Llum","39.4679377","-0.4133197","2","Profesional","venta.dvl@gmail.com","No","Sí","No","No","No","No","No","No","","https://www.milanuncios.com/anuncios/r537182909.htm","2025-02-26","655881949","ventadvl@gmail.com","No","","","No","No contactado","4270","2","2","80","195000","2437","1","Muy baja"
"Fotocasa","000228","Venta","Unifamiliar","Casa-Chalet en Venta en  Real de Madrid, La Torre","46017","Valencia","Valencia","La Torre","","39.4348275245","-0.3907560996","Undefined","Profesional","Grupo Inmobiliario Selling House","Sí","No","No","Sí","Sí","Sí","Sí","No","https://static.fotocasa.es/images/ads/bf69999c-10b0-4879-8881-52d4d8ead209?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185765039&tti=2","2025-02-26","962647958","526393@inbox.habitatsoft.com","No","Bueno","","No","No contactado","431","3","2","126","310000","2460","1","Moderada"
"milanuncios","537178455","Venta","Plurifamiliar","Valencia Capital","46023","Valencia","Valencia","Camins al Grau","Camí Fondo - Zona Baleares - Canarias","39.4629991299","-0.3541438701","5","Profesional","INMODESJU","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/08717322-b555-4732-844b-1085e9d01ad1G.jpg","https://www.milanuncios.com/anuncios/r537178455.htm","2025-02-26","960968749","inmodesju7aae@realestate.com","No","","","No","No contactado","4428","2","1","82","160000","1951","1","Muy baja"
"Fotocasa","LCV35265","Venta","Plurifamiliar","Piso en Venta en  Carrer del Pintor Dalmau, Beteró","46022","Valencia","Valencia","Poblats Marítims","Beteró","39.4739008131","-0.3341154869","1º","Profesional","La Casa Agency Punto Valencia Rio","No","No","No","No","No","No","No","No","https://static.fotocasa.es/images/ads/083decb1-324b-40a8-8ad7-b8a06d6fbac8?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185764523&tti=2","2025-02-26","960966312","46010a@lacasa.net","No","Malo","","No","No contactado","4724","3","1","73","209000","2863","1","Muy baja"
"Fotocasa","Hm Valencia 14 26 1","Venta","Plurifamiliar","Piso en Venta en  Camí de Montcada, Torrefiel","46025","Valencia","Valencia","Rascanya","Torrefiel","39.4927465131","-0.3790637869","Undefined","Profesional","HM INMOBILIARIA","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/0ab588b8-cb00-42cd-b29e-b61365cfc62f?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185764908&tti=2","2025-02-26","918007061","hminmobiliaria@hotmail.com","No","Muy bueno","","No","No contactado","1479","4","2","110","185000","1681","1","Baja"
"Fotocasa","107441784","Venta","Plurifamiliar","Piso en Venta en  Carrer de les Barques, Sant Francesc","46002","Valencia","Valencia","Ciutat Vella","Sant Francesc","39.4705405131","-0.3747500869","Undefined","Profesional","Inmobiliaria Fran López","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/aa75259a-002f-4fd4-8d6f-9611829d0db1?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185762173&tti=2","2025-02-26","962949864","franlopez@valenciainmobiliaria.es","No","","","No","No contactado","1437","1","1","70","70000","1000","1","Baja"
"Fotocasa","46-3501394 (2)","Venta","Plurifamiliar","Ático en Venta en El Pla del Remei","46004","Valencia","Valencia","L'Eixample","El Pla del Remei","39.4697027789","-0.3712292551","9º","Profesional","HABITALE MESTALLA","Sí","Sí","No","No","Sí","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/c125b904-8a4f-4867-979e-0690a3b82007?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185761632&tti=2","2025-02-26","962948547","14844@leads.egorealestate.com","No","","","No","No contactado","5061","2","3","148","1500000","10135","1","Muy baja"
"milanuncios","537140771","Venta","Plurifamiliar","Valencia Capital","46025","Valencia","Valencia","Benicalap","Ciutat Fallera","39.4992084931","-0.3948031657","","Profesional","Abn Group Alliance Sociedad Limitada","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/026bf362-c56b-4ddb-9346-230963871f8aG.jpg","https://www.milanuncios.com/anuncios/r537140771.htm","2025-02-26","928196597","subastafacilcome1d3@realestate.com","No","","","No","No contactado","8292","2","1","68","34512","507","1","Muy baja"
"habitaclia","1991","Venta","Plurifamiliar","Piso 4 habitaciones en Venta","","Valencia","Valencia","Camins al Grau","Aiora","39.4652171587","-0.3438768413","3","Profesional","CM PROPERTIES","Sí","Sí","No","No","Sí","No","No","No","https://images.habimg.com/imgh/01a1d800-34cd-4a65-8ced-e2d618c83eccG.jpg","https://www.habitaclia.com/i50179000000700","2025-02-26","677523211","team@cmproperties.es","No","Muy bueno","","No","No contactado","5784","4","1","85","287000","3376","1","Muy baja"
"milanuncios","537182503","Venta","Plurifamiliar","Valencia Capital","46022","Valencia","Valencia","Camins al Grau","Aiora","39.4642391299","-0.3448548701","3","Profesional","CM PROPERTIES","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/01a1d800-34cd-4a65-8ced-e2d618c83eccG.jpg","https://www.milanuncios.com/anuncios/r537182503.htm","2025-02-26","962470759","cmproperties8e5d@realestate.com","No","","","No","No contactado","7811","4","1","85","287000","3376","1","Muy baja"
